P30615	Pyruvate kinase 1
G8XMJ2	Hemagglutinin HA1 chain
P41058	YS29
S4FAU8	Response regulator protein VraR
K0V2D8	Pyocyanin demethylase
P04403	2S albumin
A0A0H2ZPL4	CupA
P04401	Cytotoxic T lymphocyte inducer
A0A1V3AA65	Nuclease NucT
Q57398	EPSILON TOXIN
Q9UPV7	KIAA1045 protein
Q2YLR9	Malate dehydrogenase
Q4DG45	60S ribosomal protein L26
D0E0C2	Sodium channel protein
D0E0C6	FRA A 2 ALLERGEN
D0E0C7	FRA A 3 ALLERGEN
Q9HWW1	Outer membrane protein OprG
D5AUZ7	Cobalt transport protein CbiQ
Q96D31	Protein orai 1
Q99K23	Ufm1 specific protease 2
D5AUZ9	Cobalt transport protein CbiM
P12724	Eosinophil cationic protein
P13551	Elongation factor G
Q91516	Snake venom serine protease
P13554	PSII reaction center subunit V
A0JP82	LOC100036628 protein
Q3IYV6	RNA polymerase sigma E factor
Q8NTZ4	Transcriptional regulator
P80306	Ferredoxin 6
Q8NTZ3	Sugar kinase ribokinase family
P80302	Hirustasin
I6YEH6	Enoyl CoA hydratase
O50280	PEPD
Q6PMU1	polyprotein
Q45914	NTNH
Q57930	TATA sequence binding protein
Q8U122	Uridine monophosphate kinase
Q6N5V5	putative pyruvate dehydrogenase
A0AQQ8	Yellow mutant chromo protein
Q9K498	Putative Cytochrome P450
Q9K499	Epi isozizaene synthase
Q53228	Response regulator PrrA
A0AQQ7	Chromo protein
Q47212	F18 FIMBRIAL ADHESIN AC
Q51578	Beta lactamase
Q51577	Ferredoxin 1
O95178	Complex I AGGG
O25562	Uncharacterized protein
P0AEX9#P0C872	MMBP
P0C018	50S ribosomal protein L16
Q9H6X2	Tumor endothelial marker 8
A0QQ45	EspG3
A0QQ44	ESAT 6 like protein EsxH
O75581#Q9WV60	Q9WV60:
Q8IDI5	60S ribosomal protein uL22
Q8IDI4	GLYCEROL KINASE PUTATIVE
Q8IDI8	hypothetical protein
P32410	ribosomal protein L37e
Q3M7V9	XisI protein like
P57075	UBASH3A protein
Q5L7K1	thiol disulfide oxidoreductase
Q81MI9	Acireductone dioxygenase
P0DMV8#P50503	Heat shock 70 kDa protein 1
Q9K7B8	Sugar ABC transporter
P65517	ManNAc 6 P epimerase
C7PIC2	Uncharacterized protein
O15379	SMAP45
P78310	CVB3 binding protein
P78314	SH3 domain binding protein 2
P78317	RING finger protein 4
P78318	CD79a binding protein 1
P29549	TEBP alpha
Q8TLW1	AMP binding protein
Q5SIB2	hypothetical protein TT1426
Q9RKQ2	Putative membrane protein
Q188R2	Putative hydrolase
Q9X056	lemA protein
Q9X055	ribokinase
Q9X052	hypothetical protein TM0957
P37870	RNA polymerase subunit beta
O94609	Ubiquitin activating enzyme E1 1
P00705	Lysozyme isoform I
A1E8J1	Non structural protein
P60355	Pseudocatalase
P68168	Non legume hemoglobin
Q48898	Mycoplasma arthritidis mitogen
Q186Y7	Putative methylase
P07280	40S ribosomal protein rpS19 S19e
Q3M9H8	Plastocyanin
O31452	Carboxylesterase YbfK
Q6VE93	Orf34
A4GGC6	PSI J
H2GU79	Diphtheria toxin
C4LW95	Thioredoxin reductase
P10147	CCL3
P10144	Fragmentin 2
P10145	Interleukin 8 PRECURSOR
P53313	protein SDA1
P29256#Q55329	PSI F
Q21HC5	B AGARASE
Q44297	Opine dehydrogenase
Q99814	PAS domain containing protein 2
P44814	D tyrosyl tRNATyr deacylase
Q9T0N8	ZmCKX1
Q03AZ0	D alanyl carrier protein
Q9CQJ4	ubiquitin ligase protein RING2
O08505	Glycerol dehydrase Beta subunit
Q9CQJ2	PIH1 domain containing protein 1
Q8TEW0	CTCL tumor antigen se2 5
Q58CQ2	p41 ARC
Q584S0	ADENOSINE KINASE
Q6PQK2	Nitrophorin 7
P46527	p27
Q82ZD1	conserved hypothetical protein
Q82ZD2	Uncharacterized protein
C2M2E7	OmpA family protein
Q53W05	CRISPR system Cmr subunit Cmr5
A0A075B5G0	Hemoglobin
A0A075B5G3	Adnectin
A0A075B5G4	Cutinase
A0A075B5G5	MpAFP_RII tetra tandemer
P67820	Beta globin
P68831	B2 Protein
A0KF03	Qnr
P67825	Copper homeostasis protein CutC
A0A0K2H9D8	UPF0447 protein GT50_08830
Q00805	Protein giant lens
P46938	65 kDa Yes associated protein
Q12277	Exosome complex component RRP42
Q13315	Serine protein kinase ATM
Q94AI7	Protein TOPLESS
P46939	Dystrophin related protein 1
Q46582	Protein DsvD
Q99700	Ataxin 2
Q975R3	tRNA splicing endonuclease
Q9WYW0	NAD dependent deacetylase
Q9WYW2	Tryptophan tRNA ligase
Q08GC7	Phosphoglycerate kinase
Q8DTG5	Alpha IPM isomerase
P36887	cAMP dependent protein kinase
P36886	Photosystem I subunit X
Q8GAV3	ECXB
Q6MZZ7	Calpain 13
Q8GAV5	CFXB
Q8GAV4	ECXA
Q9QAC5	Core protein
P55008	Allograft inflammatory factor 1
A0A0M1PTL9	RTX toxin
Q8Y9T5	LMO0438 protein
P55000	ARS component B
P50033	C phycocyanin beta SUBUNIT
P50030	Allophycocyanin alpha chain
P50031	Allophycocyanin beta chain
O59596	hypothetical protein PH1933
O59595	hypothetical protein PH1932
P12883#P42212	Myosin heavy chain 7
P16250	Phosphoribosyl isomerase A
P12497#Q72497	HIV 1 CA
E6Y5X0	Urease
P22939	Farnesyl diphosphate synthase
P21375	Osmotic sensitivity protein 1
P21374	Pre mRNA splicing factor ISY1
Q837U5	Putative agmatine deiminase
A5IL00	Beta xylanase
P62244	40S ribosomal protein S15a
Q5SJA1	L lactate dehydrogenase
Q9Z520	Triosephosphate isomerase
Q9NLB2	Glutaredoxin
Q8NCM8	Dynein cytoplasmic heavy chain 2
Q8WWM9	Cytoglobin
Q2G1A5	D ribose pyranase
Q06078	Utp21
Q5HED1	Alanine racemase 1
A0R6D9	Maltokinase
Q9Y2A7	p125Nap1
Q97ZH3	Pre mRNA splicing protein
Q5HCK7	Pyroglutamyl peptidase I
Q5HED0	acyl carrier protein synthase
Q9PIR7	Acetylornithine aminotransferase
P09119	Cell division control protein 6
Q9VBZ9	Beta 4 galactosyltransferase 7
P09110	Acetyl CoA acyltransferase
Q03591	H factor like protein 1
B4EH14	Phenylacetaldehyde dehydrogenase
P26262	Kininogenin
A0A077UK83	Adapter protein MecA
Q99708	DNA endonuclease RBBP8
Q5SIA8	CTP synthetase
Q5HJD7	L lactate dehydrogenase 1
O67033	Site determining protein
Q1RPM1	CdiA toxin
D3ZX24	Neurexin 2 beta
A6TH30	Curved DNA binding protein
P20429	Transcriptase subunit alpha
Q2YQX8	Adenosylhomocysteinase
A0A0H3KNC4	Amidohydrolase 2
P56060	KDO 8 phosphate synthase
P56067	O acetylserine thiol lyase
P56065	Aspartate 1 decarboxylase
Q59096	BENZYL ALCOHOL DEHYDROGENASE
A8BZ95	Kinase CMGC CDK
Q7CGH8	Modulator of drug activity B
Q8CY83	Acyltransferase
P06886	Toxic shock syndrome toxin 1
Q603F1	Methane monooxygenase subunit C2
Q5FIG7	Aspartate aminotransferase
Q7S860	Carotenoid oxygenase 1
Q08210	Dihydroorotate dehydrogenase
Q08211	ATP dependent RNA helicase A
P78055	Fructose 6 phosphate aldolase A
Q08214	DNA repair peptide
A0A133Q8Z9	50S ribosomal protein L25
P24425	Thymidine kinase
O34866	Putative carboxypeptidase YodJ
A0R747	Probable enoyl CoA hydratase
Q1RQI9	THIOREDOXIN
P08240	Docking protein alpha
P08242	ribosomal protein S2
P08244	OMP decarboxylase
Q00022	TF antigen binding lectin
P08246	Human LEUCOCYTE elastase
O49523	Phospholipase A1 IIgamma
A8AR30	solute binding protein
P59205	Murein hydrolase
Q96AE4	DNA helicase V
F9US10	lipase esterase
E9AXF0	Eukaryotic initiation factor 5A
Q6MZV7	human IgG1 Fc K248ET437R mutant
Q5CUW0	14 3 3 domain containing protein
Q8CI51	PDZ and LIM domain protein 5
P08292	Genome polyprotein
Q8N6C8	Immunoglobulin like transcript 6
D3ZK93#P19491	P19491:
Q9UIH9	Krueppel like factor 15
E5A6Z5	Avirulence Effector AvrLm4 7
E8ME30	L lactate dehydrogenase
Q9WYC6	Citrate synthase
A0A140N921	Flavodoxin
Q5JFM9	Ribose 15 bisphosphate isomerase
Q8IDV1	60S ribosomal protein eL6
D7A5Q8	Uncharacterized protein
P0CX43	60S ribosomal protein L1 A
P0CX41	60S ribosomal protein rpL23 L14p
Q9A1B7	Glutamate racemase
P0CX47	S18
P0CX46	60S ribosomal protein L2 B
P0CX45	YL6
P0CX44	L10a
P0CX49	60S ribosomal protein L18
Q9RGX8	Beta agarase B
Q70SY0	Beta galactosidase
Q6I7B2	Fluorescent protein
Q6I7B7	Old yellow enzyme
Q6I7B9	Matrix protein 1
Q92VK1	isovaleryl CoA dehydrogenase
Q92VK3	Gluconokinase
Q9KN57	Type VI secretion protein
Q9KN50	VCA0115
Q9KD11	BH1408 protein
Q9KN58	Type VI secretion protein
P07222	Nucleophosmin
P07225	Vitamin K dependent protein S
O43559	FGFR signaling adaptor SNT2
P07229	Ferritin higher subunit
Q8ZRL5	Putative periplasmic protein
P41784#Q56026	Q56026:
Q9UHN1	DNA polymerase subunit gamma 2
Q4E4Q8	60S ribosomal protein L27A L29
S8GKS3	Apical membrane antigen AMA1
Q9U6M1	J binding protein 1
O75934	Pre mRNA splicing factor SPF27
Q9FHP6	Protein C2 DOMAIN ABA RELATED 1
P12799	Fibrinogen gamma chain
P0ACS9	Potential acrAB operon repressor
P17313	Gp31
A9CH91	Hypothetical protein Atu4866
Q186F5	Phosphomethylpyrimidine kinase
C0JWR6	DNA endonuclease I MsoI
Q9XF23	EDS1
A0A0J9X218	US17
A0A0J9X219	RACK1
Q96B36	Proline rich AKT1 substrate 1
A0A0J9X210	US8
A0A0J9X211	US9
A0A0J9X212	ES28
A0A0J9X213	US10
A0A0J9X214	US11
Q7DDR9	AMPylator NmFic
A0A0J9X216	US14
A0A0J9X217	US15
P33110	Argininosuccinate lyase
P81274	Mosaic protein LGN
S5LVN3	Beta lactamase
P47929	Galectin 7
A7SDD2	Predicted protein
W8CV45	Tryptophan dehydrogenase
Q8I5Q6	THIOREDOXIN PEROXIDASE 2
C9ZI73	CTP synthase
B1XKC6	Polyketide synthase
Q9UBP6	tRNAm7G46 methyltransferase
Q9UBP0	Spastin
Q9WZ26	3 IPM DH
P06575	Strains 1593 2362 2317.3
Q9WZ29	hypothetical protein TM0559
P9WQG9	AAC2' Ic
P9WQG7	Rv0802c
P69411	Outer membrane lipoprotein RcsF
Q8U001	50S ribosomal protein L2
E1C9K5	DNA polymerase
E1C9K7	Photosystem I N subunit
P37128	GDP mannose pyrophosphatase NudK
E1C9K9	Putative uncharacterized protein
E1C9K8	PsaD
Q63ZY3	SRC 1 interacting protein
Q9NSC5	Homer protein homolog 3
Q9Q714	Env polyprotein
Q13114	CAP 1
P40189	PROTEIN GP130
P22364	Amicyanin
Q69ZQ2	hypothetical protein LOC57905
Q11YA9	Exopolyphosphatase
Q7Z494	GLY THR ALA SER SER LEU
A0A0H3JWH0	geranyltranstransferase
Q9ZVN4	At1g05000
P04585#P0A7Y4	Pr160Gag Pol
P38698	Metaphosphatase
Q5VWK5	Interleukin 23 receptor
B2HQD1	Enoyl CoA hydratase EchA12_1
P05177	Cholesterol 25 hydroxylase
P14565	TraI protein
Q13118	Krueppel like factor 10
Q2FVV7	Inositol monophosphatase
Q9NZU7	Calbrain
Q9KWT6	AlgQ1
Q9KWT7	AlgM2
Q6L6Q4	Ribonuclease HIII
Q9KWT5	AlgQ2
P48240	Exosome complex component MTR3
Q9KWT8	AlgM1
Q9KWT9	AlgS
P95106	Glutaredoxin NrdH putative
Q64595	cGMP dependent protein kinase II
B4E794	Putative hydrolase
P15879	Mono ADP ribosyltransferase C3
P18887	DNA repair protein XRCC1
P23727	P85 alpha
A7TUD3	polyprotein
P43358	Cancer testis antigen 1.4
P43351	DNA repair protein RAD52 homolog
P43357	Cancer testis antigen 1.3
P43355	Melanoma associated antigen 1
P43354	Orphan nuclear receptor NURR1
Q49ZM2	CHAP domain protein
P07764	Fructose bisphosphate aldolase
P07762	14 Alpha glucan branching enzyme
P01132#P01135	MEGF TGFALPHA44 50 CHIMERA
Q5LU41	DNA binding protein
P0A3X7	Cytochrome c6
P01085	Alpha amylase inhibitor 0.19
P01087	RATI
P01080	POTATO inhibitor PCI 1
Q8N543	Prolyl 3 hydroxylase OGFOD1
P01089	2S albumin
P01088	CHFI
Q2YQ76	Methionine tRNA ligase
P09651	Helix destabilizing protein
P04228	MHC class II H2 IAg7 alpha chain
A3DCJ4	DOCKERIN TYPE 1
P53150	Ligase interacting factor 1
P04222	MHC class I antigen Cw*3
Q8XZT7	Primosomal replication protein n
Q9K5C7	cellulose binding protein
P00939	Triosephosphate isomerase
A9CH74	Putative kinase
Q97JL1	HD superfamily hydrolase
P00935	O succinylhomoserine thiol lyase
O97775	Dihydrotestosterone receptor
Q746L9	Putative oxidoreductase
O53692	Conserved protein TB9.8
P04858	Nucleoprotein
F2QY27	Alcohol oxidase 1
P02689	Myelin P2 protein
P02686	Myelin A1 protein
G4N991	CVNH LysM lectin
P02681	Coagulogen
A8E1U5	Superantigen like protein 11
P0A749	Enoylpyruvate transferase
P0A744	methionine sulfoxide reductase A
Q9SPP9	Vomilenine glucosyltransferase
F2Z5E6	Ribosomal protein uS7
O22317	beta 1 3 glucananse
Q05195	Protein MAD
Q8GED7	AlbC
Q05193	Dynamin
Q98Y46	HIV PEPTIDE
P17606	PROTEIN Malate dehydrogenase
B8YLW0	3C protease
Q9V3J8	Protein will die slowly
O34374	Putative cytochrome P450 YjiB
P00683	RNase 1
P00684	RNase 1 gamma
P42409	MODULATOR protein RSBR
Q5UFR5	Ma1120
A0R102	30S ribosomal protein S20
Q5UFR2	Luciferase
P42400	ORF2
P0A8Z3	Protein YbgC
P42404	6 phospho 3 hexuloisomerase
Q5SIZ5	TYPE IV LIKE PILIN TTHA1219
D0RMU8	Ion transport protein
F0V1E3	36 anhydro alpha L galactosidase
P96658	protein YdeA
Q3L181	Perakine reductase
P46899	BL16
P46898	BL10
Q5F9C2	Putative uncharacterized protein
Q87VX8	putative Metal ion transporter
Q81WV7	DNA binding protein HU
Q389W3	Uncharacterized protein
Q81WV5	Copper ion binding protein
P14081	SelB translation factor
P14080	Papaya proteinase II
A7XS03	Glucuronidase
E5KIY2	Metallo beta lactamase
Q02970	EgDf1
Q9KB42	BH2092 protein
Q6FUW5	EPA1P
Q6FNA9	FMN Adenylyltransferase
G7IYC1	Dihydroflavonol 4 reductase
P82205	Superoxide dismutase [Cu Zn]
Q993A8	Envelope glycoprotein gp160
P54311	Transducin beta chain 1
P54317	Galactolipase
E9AD06	Acyl carrier protein
P54318	Galactolipase
Q10343	protein C1556.08c
Q99741	CDC6 related protein
Q10344	p23fyp
Q99748	Neurturin
P11562	Methyl coenzyme M reductase
P11560	Methyl coenzyme M reductase
G0S156	Nucleoporin NUP53
A7ZTJ2	Nucleoid occlusion factor SlmA
G1SYJ6	uL18
Q9JXD8	Adhesin
P13377	Phosphohexose isomerase
L7P7L6	NHis AcrE1 anti crispr protein
S4S1V9	CHITINASE LIKE LECTIN
E9BU52	ribosomal protein eL22
Q15485	37 kDa elastin binding protein
Q9Y7D0	Enoyl reductase
Q9Y7D1	Lovastatin hydrolase
O15550	Lysine specific demethylase 6A
D2YW48	putative glutathione transferase
W8PWF3	Cellulase
Q8Y759	Foldase protein PrsA 1
O15123	Angiopoietin 2
D2YW44	Arsenite stimulated ATPase
C4M213	Malate dehydrogenase
D2YW40	rhodocetin subunit delta
D2YW43	Trypsin inhibitor
Q2G506	ATM1 type heavy metal exporter
Q9NU19	TBC1 domain family member 22B
Q02354	Utp6
O23193	CBS domain containing protein 2
A2RNQ6	30S ribosomal protein S10
P44492	HYPOTHETICAL protein HI0065
Q5SXI5	Zinc finger protein 496
C4QH88	Annexin
Q4KTQ7	ANTIQUITIN
Q7CGT8	Protein disulfide isomerase II
Q8WXG8	S100 calcium binding protein Z
A7MJV9	Uncharacterized protein
Q02108	GCS alpha 1
A0A0M3KKX1	Dihydrofolate reductase
Q96KN2	CNDP dipeptidase 1
Q96TR6	Laccase
A7MQK9	RecQ
Q9BHB0	glutathione transferase gst1 6
P12033	Phosphoribulokinase 1
A0A0H2V6G8	Uncharacterized protein
P15024	Lambda1Hel
P10762	Apolipophorin III
P10760	S ADENOSYLHOMOCYSTEINE hydrolase
P69996	Urease subunit beta
Q03759	Uncharacterized protein YML108W
P60487#Q8CHP8	P60487:
A6KXE4	SusD superfamily protein
P10768	Esterase D
Q06505	Transcription factor SPN1
R4GUQ3	Neurotoxin alpha KTx 28.1
O58403	Aspartate racemase
E0UVR5	HAEMAGGLUTININ HA1
O58404	hypothetical protein PH0671
O14607	Histone demethylase UTY
Q07457	E3 ubiquitin protein ligase BRE1
P50542	Peroxin 5
P0A6H1	ATP dependent unfoldase ClpX
P0A6H6	Unfoldase HslU
P0A6H5	protein Heat shock LOCUS U
P50549	Ets translocation variant 1
P9WJ62	Hemolysin TlyA
O54952	BRCA1
P9WJ61	Tuberculosinol synthase
P9WJ67	Sigma L anti sigma factor RslA
B4XC07	Beta 14 mannanase
P16649	Repressor AER2
Q4D1H8	60S ribosomal protein L32
Q7BVV5	AM32
P0AC88	GDP D mannose dehydratase
P16641	ATP:guanidino kinase Smc74
P16640	Putidaredoxin reductase
B0B6I9	PENICILLIN BINDING PROTEIN 2B
P0AC81	Glyoxalase I
O29482	Tyrosine tRNA ligase
P52943	Cysteine rich protein 2
Q9WXM1	L Ala D L Glu epimerase
O93706	AspA
Q9NY59	Neutral sphingomyelinase 2
P35778	Allergen Sol i III
Q95X01	Beta glucosidase 1
U3KRF6	rRNA N glycosidase
P35774	Protein IV
P35775	Venom allergen II
Q68DC2	SamCystin
P14868	Aspartyl tRNA synthetase
P20749	Proto oncogene BCL3
U3KRF2	3 dehydroquinate synthase
O50095	phosphoglycerate dehydrogenase
O50094	Uncharacterized protein
P28510	Hirudin 3B
P28511	Hirudin
L0L3X3	Hemagglutinin HA2 chain
P28519	DNA repair protein RAD14
I6XWU3	Bifunctional protein GlmU
Q6CW21	ribosomal protein uS8
Q03HU7	Adhesion exoprotein
P54802	N acetyl alpha glucosaminidase
Q9Y530	Uncharacterized protein C6orf130
Q9C5D0	CBS domain containing protein 1
Q9Z0U1	Tjp2 protein
Q06486	Tau protein kinase CSNK1D
Q9HKT2	Lipoate protein ligase subunit 2
Q9HKT1	Lipoate protein ligase A
Q5M567	Dipeptidase
P17515	Small inducible cytokine B10
P17516	3 alpha HSD1
O15234	Protein CASC3
O15235	uS12m
Q0PA35	Bifunctional protein FolD
Q926X2	Lin2918 protein
O15230	Laminin subunit alpha 5
A0A0H3GD84	LISTERIOLYSIN O
Q7D6H9	hypothetical protein Rv2827c
B3VI55	Levoglucosan kinase
A0A088CB91	Esterase
O15239	Complex I MWFE
Q65Z69	alkaline serine protease
Q8CWB9	fimbrillin MatB homolog
Q540U1	AphA protein
O05205	mitomycin binding protein
O05209	VCP like ATPase
Q8I6J8	Kaede
E0U497	Flagellin
A0A158RFT4	Rhipicephalus microplus RaCI2
Q92854	A8
A0A158RFT6	CopC
P9WKL1	Isocitrate dehydrogenase [NADP]
A0A158RFT3	Dermacentor andersoni RaCI3
Q92859	Neogenin
Q5JS13	RalA exchange factor RalGPS1
O68840	Surface layer protein
O68847	site specific recombinase IntI4
F8V325	Superoxide dismutase
Q8IIG6	phosphoglycerate mutase
Q9HAZ2	PR domain containing protein 16
Q8ZPX9	AMINOGLYCOSIDE ADENYLTRANSFERASE
Q72J47	Ribose 5 phosphate isomerase A
P26378	ELAV like protein 4
Q9UKL3	CASP8 associated protein 2
Q3JQ34	Fumarate hydratase class II
P12851	Xylose isomerase
P26373	Breast basic conserved protein 1
B2IZD3	dynamin FAMILY protein
Q7BGE6	10 kDa chaperonin
Q88PF6	Putative polyketide cyclase
Q9HVA2	Ketol acid reductoisomerase
Q93L51	TETX2
Q82XK1	conserved hypothetical protein
Q28175	Retinoid isomerohydrolase
Q3TTA7	SH3 binding protein CBL B
E9BGL6	ribosomal protein uL22
P49256	Lectin mannose binding 2
P49257	Protein ERGIC 53
P49258	Protein androcam
P0A0K8#P20831	DNA gyrase subunit A and B
Q66X49	Envelope glycoprotein gp41
Q8PU52	Hypothetical protein MM_2497
Q8A1H5	Neuraminidase
Q83IZ7	hypothetical protein S4005
Q8A1H2	conserved hypothetical protein
Q9BYX2	Armus
O31178	Transcriptional repressor PagR
A0N262	antibody Fv fragment SAG506 01
Q9BYX4	RIG I like receptor 2
Q3JW91	Dephospho CoA pyrophosphorylase
B2CY50	CSGC
A5ZGP5	Uncharacterized protein
Q643C8	methyltransferase MppJ
C7CXJ5	Bile salt hydrolase
P63098	Calcineurin B subunit isoform 1
P63099	SERINE THREONINE phosphatase B2
P37329	Molybdate TRANSPORT protein MODA
P75830	Macrolide export protein MacA
P30113	Glutathione S transferase 28 kDa
P30112	Fh51
P84154	Ribosome recycling factor
Q80DL0	Neuraminidase
P84156	Defensin ARD1
P30114	Sh28GST
Q9P4V2	Phosphoacetylglucosamine mutase
Q5NVK7	Speckle type POZ protein
Q9N2I2	Serpin A5
Q9D2U9	Histone H2B type 3 A
Q9YP60	Non structural protein 1
A0A024V0B1	M17 family aminopeptidase
P63320	Ras related protein Ral A
P11006	L ACPC8 Ala MAGAININ
P63328	CAM PRP catalytic subunit
Q2I6W2	NotI restriction endonuclease
Q8L7J2	Beta glucosidase 6
B7MIW7	PROTEIN TRANSLOCASE SUBUNIT SECE
Q4H1C9	Acyl carrier protein
P51398	Death associated protein 3
F1RHJ1	MRPL24
P25054	APC protein
Q7Z6G8	E2A PBX1 associated protein
P25051	VanA ligase
P25052	THI 4 protein
P25053	Regulatory protein tenI
O87008	Two component enzyme C
O87009	Two component enzyme D
A2DQN8	Uncharacterized protein
Q8GCY3	ALPHA TOXIN
A0A077EMQ8	Cysteine desulfurase
O59412	radical sam enzyme
O59413	Intracellular protease 1
Q2HZ25	Apoferredoxin
O07177	Maltokinase
Q658P3	pHyde
O48963	Phototropin 1
Q9RT21	Trigger factor
P06169	Pyruvate decarboxylase FORM B
Q5FNX9	Putative polyol dehydrogenase
P55211	PROCASPASE 9
P55210	Apoptotic protease Mch 3
F1SVL0	Topoisomerase V
P55212	Apoptotic protease Mch 2
Q9PMG4	IMP aspartate ligase
B0LUZ5	Putative D lactate dehydrogenase
O66552	UPF0088 protein aq_165
O66555	YjeQ protein
B2HPZ3	Acetate kinase
P07803	Non symbiotic hemoglobin
Q4QEJ1	ADP RIBOSYLATION FACTOR
Q2GA55	uncharacterized protein
W8VZW3	Chloride pumping rhodopsin
F1RWL7	Complex I ASHI
Q45U61	Actibind
P02873	BEAN Lectin LIKE inhibitor
P07800	Chemotaxis protein CheZ
A6VIT4	Pyrrolo quinoline quinone
J9VSX1	Adenylosuccinase
Q03252	laminB1 residues 179 191
O75385	Unc 51 like kinase 1
Q97R46	Bifunctional protein GlmU
P07805	Ornithine decarboxylase
P0C0X9	LH 1
P0C0X8	Cytochrome c 2
G5EKM9	Germacradien 4 ol synthase
Q9STE8	Protein TOC75 3 chloroplastic
G3M189	Tailspike protein
Q9DCR4	EID1 peptide
Q5F5E3	Phosphoheptose isomerase
A8K4Y7	Histone H3
Q54839	M protein
A0A1B3B7F6	Beta lactamase
O26271	MTH169
Q1R4M9	Membrane integrase YidC
A0A0F6P2I5	Beta lactamase
Q8U2L5	50S ribosomal protein L14e
P25942	B cell surface antigen CD40
Q46731	Tn5 Transposase
Q8U0T4	SSU ribosomal protein S19e
P24095	Lipoxygenase
P24092	Cytochrome CC3
P56740	78 dihydroneopterin epimerase
P09326	CD48 antigen
P09327	Villin 1
E9AWJ0	deoxyribosyltransferase
A0A077L885	NAD reducing hydrogenase
Q8U2L3	50S ribosomal protein L34e
Q5AP80	White opaque regulator 1
O43854	Integrin binding protein DEL1
Q5FAK7	Amino acid acetyltransferase
Q8WVN8	Ubiquitin carrier protein Q2
Q31MN3	Peroxidase catalase
P35235	SH PTP2
Q4GWU5	Trypsin inhibitor 1
W5PW27	COMPLEX IV COX5B
Q81UV8	Short chain dehydrogenase
Q53WG6	UPF0271 protein TTHB195
A0A140NEG9	ACETYLGLUTAMATE KINASE
O97791	TITIN
Q7YT39	Toxin GsMTx 4
Q4DXW6	Ribosomal protein L37
Q53WG9	Cse3 endoRNase
A0A075B5I3#A0A0A6YX08#A0A5B9	42F3 beta VmVh chimera
Q6LFH8	Ornithine aminotransferase
A0A0J9X246	Hemagglutinin HA1 chain
Q6UWY2	Serine protease 1 like protein 1
P72870	Allophycocyanin subunit alpha B
Q9AFC7	Glycosyltransferase GtfD
O69787	Choline sulfatase
A9CKD6	SAM dependent methyltransferase
O32085	Cysteine dioxygenase
P23471	R PTP zeta 2
P23472	Hevamine A
O01479	Tropomodulin TMD 1
P27540	Hypoxia inducible factor 1 beta
P75063	L alpha glycerophosphate oxidase
Q9X0J6	uncharacterized protein tm1112
Q9KVL7	Diaminopimelate decarboxylase
O57847	Hypothetical protein PH0107
Q918V6	Membrane fusion protein p15
O57848	Alanyl tRNA deacylase AlaX M
A7B039	putative peptide binding protein
Q9Y5X3	Sorting nexin 5
Q9Y5X0	Sorting nexin 10
Q9Y5X1	Sorting nexin 9
P0AEY0#Q13526	MMBP
Q31RK1	Uncharacterized protein
Q981H6	Putative dehydratase
Q6H8Q1	Actin binding LIM protein 2
P06988	Histidinol dehydrogenase
P06983	Pre uroporphyrinogen synthase
Q4DIC9	60S ribosomal protein L30
G2QDY6	Rad26
Q53079	Proteasome beta type subunit 1
O60783	uS14m
Q9X1X7	Quinolinate synthase A
Q8CIZ8	von Willebrand factor
Q9X1X1	Rad50
Q9X1X0	Exonuclease putative
P22702	Arginine attenuator peptide
P0AGF2	Sulfur acceptor protein CsdE
Q9X1X9	Hypothetical protein TM_1646
P26631	Hirullin P18
Q3JL79	NAD+ synthetase
P40288	Glucose 1 dehydrogenase
P36156	Extracellular mutant protein 4
Q9K597	OUTER MEMBRANE PORIN C
P36152	Anamorsin homolog
P33309	Protein DOM34
P33308	Chromosome segregation protein 2
P36159	Ribonuclease Z
Q8ZPC3	Putative methyltransferase
Q8ZPC0	acetyl transferase
Q7T918	polyprotein
P30490	Bw 52
Q9GZU1	Mucolipin 1
Q9XG81	PUTATIVE phospholipase A2
E6PBU9	40S RIBOSOMAL PROTEIN RPS31E
P41480	FAD linked sulfhydryl oxidase
Q98BN1	Mll5499 protein
P80592	Giant hemoglobins B chain
P04859	Phosphoprotein
P04857	Nucleoprotein
P04850	Hemagglutinin neuraminidase
Q9BW27	FROUNT
P9WHV7	ATP dependent NAD kinase
A0A023PKG5	3 oxoacyl ACP reductase
O25017	Putative uncharacterized protein
O25010	hypothetical protein HP0222
P69202	Repressor protein C2
Q9NWT6	factor inhibiting HIF1
Q9CYK2	Glutaminyl tRNA cyclotransferase
Q56415	Fosfomycin resistance protein
Q56416	Dephosphocoenzyme A kinase
A2RMR2	50S ribosomal protein L35
Q9NWT8	mS38
A2RMR1	50S ribosomal protein L20
Q180C0	Putative phosphosugar isomerase
V7CU13	L ASPARAGINASE ALPHA SUBUNIT
C2LPE2	DsbA like protein
O93868	Mannitol 2 dehydrogenase [NADP+]
Q6NS95	DX 2507 Fab light chain
P41736	Pac TX
G4VQX9	Adenylosuccinase
F2UBE5	Ras protein
P51965	Ubiquitin protein ligase E1
A8D8P8	PIWI
Q9BYC8	bL32
P02185	Myoglobin METHYL ISOCYANIDE
P49630	Protein minute11B
P30656	Proteinase YSCE subunit PRE2
P02186	Myoglobin
O14529	Homeobox protein cux 2
Q9BYC5	Fucosyltransferase 8
